품목명,분류,기본세율,WTO,싱가포,아시아,칠레,유럽(EFTA),페루,인도,미국,터키,호주,캐나다,,,,
코트,의류,13%,16%,1.20%,0%,0%,0.00%,0%,0%,0%,0%,0%,0%,,,,
장갑,의류,13%,16%,1.20%,0%,0%,0.00%,0%,3.30%,0%,0%,0%,0%,,,,
벨트,의류,8%,16%,0%,0%,0%,0.00%,0%,0%,0%,0%,2.60%,0%,,,,
티셔츠,의류,13%,35%,1.20%,0%,0%,0.00%,0%,0%,0%,0%,0%,0%,,,,
가디건,의류,13%,35%,1.20%,13%,0%,0.00%,0%,3.30%,0%,0%,4.30%,0%,,,,
슈트,의류,13%,35%,1.20%,0%,0%,0.00%,0%,0%,0%,0%,0%,0%,,,,
언더팬츠,의류,13%,16%,1.20%,0%,0%,0.00%,0%,3.30%,0%,0%,0%,0%,,,,
신발류,의류,13%,13%,0%,0%,0%,0.00%,0%,3.30%,0%,0%,0%,0%,,,,
액세서리,의류,8%,13%,0.70%,0%,0%,0.00%,0%,0%,0%,0%,0%,0%,,,,
나무,원자재,2%,2%,0%,0%,0%,0.00%,0%,0%,0%,0%,0.60%,1.30%,,,,
섬유,원자재,2%,6.50%,4.60%,0%,0%,0.00%,0%,12.80%,0%,51%,40.80%,45.90%,,,,
플라스틱,원자재,8%,6.50%,0%,0%,0%,0.00%,0%,0%,3.90%,0%,0%,0%,,,,
진주,원자재,8%,13%,0%,0%,0%,0.00%,0%,0%,0%,0%,2.60%,0%,,,,
기타 보석,원자재,5%,5%,0%,0%,0%,0.00%,0%,0%,0%,0%,0%,0%,,,,
다이아몬드,원자재,5%,10%,0%,0%,0%,0.00%,0%,0%,0%,0%,0%,0%,,,,
은,원자재,3%,5%,,0%,0%,0.00%,0%,0.80%,0%,0%,0%,0%,,,,
백금,원자재,3%,5%,0%,0%,0%,0.00%,0%,0%,0%,0%,0%,0%,,,,
금,원자재,3%,5%,0%,0%,0%,0.00%,0%,0%,0%,0%,0%,0%,,,,
은,원자재,8%,13%,0.70%,0%,0%,2.60%,0%,0%,0%,0%,0%,0%,,,,
합금 등,원자재,5%,10%,0%,0%,0%,0.00%,0%,2%,0%,0%,3%,0%,,,,
구리,원자재,8%,10%,0%,0%,0%,2.60%,0%,0%,0%,0%,0%,0%,,,,
니켈,원자재,8%,13%,0%,0%,0%,0.00%,0%,2%,0%,0%,0%,0%,,,,
알루미늄,원자재,8%,13%,0%,0%,0%,0.00%,0%,0%,0%,0%,0%,0%,,,,
가죽,원자재,8%,10%,0%,0%,0%,0.00%,0%,0%,0%,0%,0%,0%,,,,
파이프,원자재,8%,13%,0%,0%,0%,0.00%,0%,0%,0%,0%,0%,0%,,,,
자동차,운송수단,10%,8%,0%,0%,0%,2.60%,0%,0%,4%,4%,0%,0%,,,,
화물차,운송수단,8%,13%,0.70%,8%,0%,0.00%,0%,0%,0%,0%,0%,0%,,,,
"우주선,비행기,인공위성",운송수단,0%,0%,0%,0%,0%,0.00%,0%,0%,0%,0%,0%,0%,,,,
악기류,악기,8%,13%,0%,0%,0%,2.60%,0%,0%,0%,0%,0%,0%,,,,
자동차 부품,기타,8%,13%,0%,0%,0%,0.00%,0%,0%,0%,0%,0%,0%,,,,
세공품,기타,8%,13%,0%,0%,0%,0.00%,0%,0%,0%,0%,0%,0%,,,,
디스플레이용 액정,기타,8%,13%,0%,0%,0%,0.00%,0%,0%,0%,0%,0%,0%,,,,
주방용 전자기기,기타,8%,16%,0%,0%,0%,0.00%,0%,0%,0%,0%,0%,0%,,,,
"통신장비(마이크,이어폰 포함)",기타,8%,16%,0%,0%,0%,0.00%,0%,0%,0%,0%,0%,0%,,,,
시계류,기타,8%,16%,0%,0%,0%,0.00%,0%,0%,0%,0%,2.60%,0%,,,,
화기류,기타,8%,16%,0%,0%,0%,0.00%,0%,0%,0%,0%,0%,0%,,,,
가구류,기타,8%,13%,0.70%,0%,0%,0.00%,0%,0%,0%,0%,0%,0%,,,,
전자기기,기타,8%,13%,0.70%,0%,0%,0.00%,0%,0%,0%,0%,0%,0%,,,,
의료기기,기타,8%,8%,0%,0%,0%,2.60%,0%,2%,4.80%,2%,0%,6.40%,,,,
